Date,Actual_Altitude_km,Predicted_Altitude_km,Persistence_Baseline_km,Is_Reboost_Maneuver
2023-10-22,418.19619664213684,417.88086,418.2112790626429,False
2023-10-23,418.16530691173466,417.87836,418.19619664213684,False
2023-10-24,418.1245071696107,417.82834,418.16530691173466,False
2023-10-25,418.1058743285109,417.80316,418.1245071696107,False
2023-10-26,418.0709587094781,417.78848,418.1058743285109,False
2023-10-27,418.0575448108783,417.82022,418.0709587094781,False
2023-10-28,418.0454775420316,417.8314,418.0575448108783,False
2023-10-29,418.0142233567688,417.81677,418.0454775420316,False
2023-10-30,417.98259795190444,417.83405,418.0142233567688,False
2023-10-31,417.9471007558445,417.87604,417.98259795190444,False
2023-11-01,417.90805710249555,417.9636,417.9471007558445,False
2023-11-02,417.859023019317,418.0328,417.90805710249555,False
2023-11-03,417.82837100538495,418.07373,417.859023019317,False
2023-11-04,417.8054527464673,418.15027,417.82837100538495,False
2023-11-05,417.7636452986766,418.19415,417.8054527464673,False
2023-11-06,417.7428120086261,418.15106,417.7636452986766,False
2023-11-07,417.71525315179787,418.0886,417.7428120086261,False
2023-11-08,417.7021148965442,417.9909,417.71525315179787,False
2023-11-09,417.6911008668076,417.954,417.7021148965442,False
2023-11-10,417.64259493022047,417.90454,417.6911008668076,False
2023-11-11,417.5991557253999,417.82352,417.64259493022047,False
2023-11-12,419.0613167571562,417.7478,417.5991557253999,True
2023-11-13,419.0349586393796,417.65442,419.0613167571562,False
2023-11-14,419.0180268665768,417.6936,419.0349586393796,False
2023-11-15,419.00176938487,417.6469,419.0180268665768,False
2023-11-16,418.9817596689434,417.64804,419.00176938487,False
2023-11-17,418.94979060235516,417.61136,418.9817596689434,False
2023-11-18,418.9112067654472,417.65958,418.94979060235516,False
2023-11-19,418.8747988703785,417.59317,418.9112067654472,False
2023-11-20,418.8536015145006,417.5912,418.8747988703785,False
2023-11-21,418.8054069032741,417.6432,418.8536015145006,False
2023-11-22,418.76589102660625,417.7092,418.8054069032741,False
2023-11-23,418.7337168645058,417.77322,418.76589102660625,False
2023-11-24,418.6992480346564,417.7576,418.7337168645058,False
2023-11-25,418.6724640321593,417.72922,418.6992480346564,False
2023-11-26,418.6525547925793,417.78674,418.6724640321593,False
2023-11-27,418.6283158854332,417.89792,418.6525547925793,False
2023-11-28,418.58800204101465,417.92462,418.6283158854332,False
2023-11-29,418.5774263014695,417.96304,418.58800204101465,False
2023-11-30,418.5627833958492,417.9374,418.5774263014695,False
2023-12-01,418.55094329016833,418.0078,418.5627833958492,False
2023-12-02,418.53931413807555,417.9727,418.55094329016833,False
2023-12-03,418.4950957147151,417.95035,418.53931413807555,False
2023-12-04,418.4569494003399,417.97516,418.4950957147151,False
2023-12-05,418.4279824471764,418.00546,418.4569494003399,False
2023-12-06,418.4140690807504,418.01154,418.4279824471764,False
2023-12-07,418.3844044457457,418.01636,418.4140690807504,False
2023-12-08,418.35546557491455,418.03107,418.3844044457457,False
2023-12-09,418.33853750011815,418.01163,418.35546557491455,False
2023-12-10,418.3111834341485,417.99966,418.33853750011815,False
2023-12-11,418.28524324477263,417.94736,418.3111834341485,False
2023-12-12,418.25060924085057,417.92316,418.28524324477263,False
2023-12-13,418.2152054948159,417.88995,418.25060924085057,False
2023-12-14,418.20339333442496,417.791,418.2152054948159,False
2023-12-15,418.17840882983995,417.74802,418.20339333442496,False
2023-12-16,418.14337443321136,417.6918,418.17840882983995,False
2023-12-17,418.1132489828682,417.64578,418.14337443321136,False
2023-12-18,418.06898938922063,417.69315,418.1132489828682,False
2023-12-19,418.03264164395586,417.63712,418.06898938922063,False
2023-12-20,418.0161242668726,417.62845,418.03264164395586,False
2023-12-21,418.0033015169766,417.5908,418.0161242668726,False
2023-12-22,417.96760474584835,417.59457,418.0033015169766,False
2023-12-23,417.9565442934267,417.58908,417.96760474584835,False
2023-12-24,417.9231132701758,417.5997,417.9565442934267,False
2023-12-25,417.8755040605187,417.62476,417.9231132701758,False
2023-12-26,417.8424850934037,417.6187,417.8755040605187,False
2023-12-27,419.31695829635544,417.60703,417.8424850934037,True
2023-12-28,419.28122676761774,417.6494,419.31695829635544,False
2023-12-29,419.25289665199807,417.71075,419.28122676761774,False
2023-12-30,419.22107198042545,417.7594,419.25289665199807,False
2023-12-31,419.1734133880744,417.7203,419.22107198042545,False
